country_code,country_name,indicator_code,indicator_name,year,value
AE,United Arab Emirates,NY.GDP.MKTP.CD,GDP (current US$),2023,522622191967.325
AE,United Arab Emirates,NY.GDP.MKTP.CD,GDP (current US$),2022,511403403675.97
AE,United Arab Emirates,NY.GDP.MKTP.CD,GDP (current US$),2021,422441388699.796
AE,United Arab Emirates,NY.GDP.MKTP.CD,GDP (current US$),2020,357161878829.135
AE,United Arab Emirates,NY.GDP.MKTP.CD,GDP (current US$),2019,433926208304.969
AE,United Arab Emirates,NY.GDP.MKTP.CD,GDP (current US$),2018,440560108917.631
AE,United Arab Emirates,NY.GDP.MKTP.CD,GDP (current US$),2017,403365010211.028
AE,United Arab Emirates,NY.GDP.MKTP.CD,GDP (current US$),2016,381717086453.37
AE,United Arab Emirates,NY.GDP.MKTP.CD,GDP (current US$),2015,381973042886.317
AE,United Arab Emirates,NY.GDP.MKTP.CD,GDP (current US$),2014,424935874744.724
AE,United Arab Emirates,NY.GDP.MKTP.CD,GDP (current US$),2013,409632675289.313
AE,United Arab Emirates,NY.GDP.MKTP.CD,GDP (current US$),2012,392793464942.138
AE,United Arab Emirates,NY.GDP.MKTP.CD,GDP (current US$),2011,368881143635.126
AE,United Arab Emirates,NY.GDP.MKTP.CD,GDP (current US$),2010,307736419332.88
AE,United Arab Emirates,NY.GDP.MKTP.CD,GDP (current US$),2009,253547358747.447
AE,United Arab Emirates,NY.GDP.MKTP.CD,GDP (current US$),2008,315474615738.598
AE,United Arab Emirates,NY.GDP.MKTP.CD,GDP (current US$),2007,257916133424.098
AE,United Arab Emirates,NY.GDP.MKTP.CD,GDP (current US$),2006,222116541865.214
AE,United Arab Emirates,NY.GDP.MKTP.CD,GDP (current US$),2005,180617467964.602
AE,United Arab Emirates,NY.GDP.MKTP.CD,GDP (current US$),2004,147824370319.946
AE,United Arab Emirates,NY.GDP.MKTP.CD,GDP (current US$),2003,124346358066.712
AE,United Arab Emirates,NY.GDP.MKTP.CD,GDP (current US$),2002,109816201497.617
AE,United Arab Emirates,NY.GDP.MKTP.CD,GDP (current US$),2001,103311640571.818
AE,United Arab Emirates,NY.GDP.MKTP.CD,GDP (current US$),2000,104337372362.151
BH,Bahrain,NY.GDP.MKTP.CD,GDP (current US$),2023,46192260638.2979
BH,Bahrain,NY.GDP.MKTP.CD,GDP (current US$),2022,46458191489.3617
BH,Bahrain,NY.GDP.MKTP.CD,GDP (current US$),2021,40840212765.9574
